0 1 10 13	1	0+(1+(10*13))			
0 1 11 12	1	0+((11*12)-1)			
0 10 11 11	1	0+(10+(11*11))			
0 10 11 12	1	0+((10*12)+11)			
0 11 12 13	1	0+((11*13)-12)			
0 12 12 13	1	0+((12*12)-13)			
1 1 9 13	1	1+((1+9)*13)			
1 1 10 12	2	((1+10)*12)-1	1+((1+12)*10)		
1 1 10 13	1	1*(1+(10*13))			
1 1 11 11	1	((1+11)*11)-1			
1 1 11 12	1	1*((11*12)-1)			
1 1 11 13	2	1+((11-1)*13)	(11*(13-1))-1		
1 1 12 12	1	(12*(12-1))-1			
1 2 5 13	1	1+(13*(2*5))			
1 2 6 11	1	(11*(2*6))-1			
1 2 8 13	1	1+(13*(2+8))			
1 2 9 12	1	(12*(2+9))-1			
1 2 10 11	2	((10+2)*11)-1	1+(10*(11+2))		
1 2 10 13	1	((10*13)+2)-1			
1 2 11 12	1	(1+(11*12))-2			
1 2 12 13	2	1+((12-2)*13)	(12*(13-2))-1		
1 3 4 11	1	(11*(3*4))-1			
1 3 7 13	1	1+(13*(3+7))			
1 3 8 12	1	(12*(3+8))-1			
1 3 9 11	1	(11*(3+9))-1			
1 3 10 10	1	1+(10*(10+3))			
1 3 13 13	1	1+(13*(13-3))			
1 4 6 13	1	1+(13*(4+6))			
1 4 7 12	1	(12*(4+7))-1			
1 4 8 11	1	(11*(4+8))-1			
1 4 9 10	1	1+(10*(4+9))			
1 5 5 13	1	1+(13*(5+5))			
1 5 6 12	1	(12*(5+6))-1			
1 5 7 11	1	(11*(5+7))-1			
1 5 8 10	1	1+(10*(5+8))			
1 5 9 13	1	((1+13)*9)+5			
1 5 13 13	1	1+((13+13)*5)			
1 6 6 11	1	(11*(6+6))-1			
1 6 7 10	1	1+(10*(6+7))			
1 6 9 13	1	((13+9)*6)-1			
1 6 10 12	1	((10+12)*6)-1			
1 6 11 11	1	((11+11)*6)-1			
1 9 10 13	1	((1+13)*10)-9			
1 9 11 11	1	1+((11*11)+9)			
1 9 11 12	1	((1+9)*12)+11			
1 9 13 13	1	1+(13+(13*9))			
1 10 10 11	1	((1+10)*11)+10			
1 10 10 12	1	1+(10+(10*12))			
1 10 10 13	1	((1/10)+13)*10			
1 10 11 11	2	1*(10+(11*11))	((1+11)*10)+11		
1 10 11 12	2	1*((10*12)+11)	10+(11*(12-1))		
1 10 11 13	1	(10*(13-1))+11			
1 10 12 12	1	((10*12)+12)-1			
1 10 12 13	1	((1+10)*13)-12			
1 10 13 13	1	((1/13)+10)*13			
1 11 11 11	1	(11+(11*11))-1			
1 11 11 12	2	11+((11-1)*12)	11*(12-(1/11))		
1 11 11 13	1	(11*13)-(1+11)			
1 11 12 12	2	((1+12)*11)-12	(11-(1/12))*12		
1 11 12 13	2	((1+11)*12)-13	1*((11*13)-12)		
1 11 13 13	1	(1+(11*13))-13			
1 12 12 12	1	(12*12)-(1+12)			
1 12 12 13	2	1*((12*12)-13)	((12-1)*13)-12		
1 12 13 13	1	(12*(13-1))-13			
2 2 10 13	1	(10*13)+(2/2)			
2 2 11 12	1	(11*12)-(2/2)			
2 3 8 8	1	(2*(8*8))+3			
2 3 10 13	1	((10*13)+3)-2			
2 3 11 12	1	((11*12)+2)-3			
2 4 9 13	1	((13+2)*9)-4			
2 5 7 9	1	(2*(7*9))+5			
2 5 9 12	1	((12+2)*9)+5			
2 5 11 11	1	(11*11)+(2*5)			
2 5 11 12	1	11+(12*(2*5))			
2 6 7 13	1	((13+6)*7)-2			
2 6 10 11	1	(10*(2*6))+11			
2 6 11 13	1	(11*13)-(2*6)			
2 6 12 13	1	(12*(2*6))-13			
2 7 7 12	1	((12+7)*7)-2			
2 7 8 11	1	((11+8)*7)-2			
2 7 9 10	2	((10+9)*7)-2	(10*(2*7))-9		
2 7 9 13	1	(13*9)+(2*7)			
2 8 9 13	1	(2*(8*9))-13			
2 8 11 11	1	(11*11)+(2+8)			
2 8 11 12	1	11+(12*(2+8))			
2 8 11 13	1	11+((13+2)*8)			
2 9 10 11	1	10+(11*(2+9))			
2 9 10 12	2	(10*12)+(2+9)	(10*(12+2))-9		
2 9 12 13	2	12+((13*9)+2)	(13*(2+9))-12		
2 10 10 11	1	(10*(10+2))+11			
2 10 11 13	2	(11*13)-(10+2)	10+(11*(13-2))		
2 10 12 13	2	((10+2)*12)-13	((10*12)+13)-2		
2 11 11 12	2	(11*(11+2))-12	((11*11)+12)-2		
2 11 12 12	2	(12*12)-(11+2)	11+(12*(12-2))		
2 12 13 13	1	(13*(13-2))-12			
3 3 8 13	1	((13+3)*8)+3			
3 3 10 13	1	(10*13)+(3/3)			
3 3 11 12	1	(11*12)-(3/3)			
3 4 4 8	1	3+(4*(4*8))			
3 4 5 9	1	(3*(5*9))-4			
3 4 8 12	1	((12+4)*8)+3			
3 4 9 12	1	((12+3)*9)-4			
3 4 10 11	1	(10*(3*4))+11			
3 4 10 13	1	((10*13)+4)-3			
3 4 11 12	1	((11*12)+3)-4			
3 4 11 13	1	(11*13)-(3*4)			
3 4 12 13	1	(12*(3*4))-13			
3 5 6 7	1	(3*(6*7))+5			
3 5 8 11	2	11+(3*(5*8))	((11+5)*8)+3		
3 5 9 11	1	((11+3)*9)+5			
3 6 8 10	1	((10+6)*8)+3			
3 6 8 13	1	(3*(6*8))-13			
3 7 8 9	1	3+((7+9)*8)			
3 7 10 11	1	(10*11)+(3*7)			
3 7 11 11	1	(11*11)+(3+7)			
3 7 11 12	1	11+(12*(3+7))			
3 8 8 8	1	3+(8*(8+8))			
3 8 9 13	1	(13*8)+(3*9)			
3 8 10 11	1	10+(11*(3+8))			
3 8 10 12	1	(10*12)+(3+8)			
3 8 11 12	1	11+((12+3)*8)			
3 8 12 13	1	(13*(3+8))-12			
3 9 10 11	2	(10*(3+9))+11	(10*(11+3))-9		
3 9 11 13	2	(11*13)-(3+9)	11+((13*9)+3)		
3 9 12 13	1	(12*(3+9))-13			
3 9 13 13	1	((13+3)*9)-13			
