1 3 5 12	1	(1+(12*3))*5		
1 3 13 13	1	((1+13)*13)+3		
1 4 5 9	1	(1+(4*9))*5		
1 5 6 6	1	(1+(6*6))*5		
1 8 10 13	1	1+((10+13)*8)		
1 8 11 12	1	1+((11+12)*8)		
2 3 5 13	1	((13*3)-2)*5		
2 3 7 13	1	(13*(2*7))+3		
2 3 12 13	1	((12+2)*13)+3		
2 4 11 13	1	(11*(13+4))-2		
2 5 5 7	1	(2+(5*7))*5		
2 5 9 10	1	(10*(2*9))+5		
2 5 11 12	1	(11*(12+5))-2		
2 5 11 13	1	(11+(13*2))*5		
2 5 12 13	2	((12*2)+13)*5	(12*(13+2))+5	
2 6 11 11	1	(11*(11+6))-2		
2 7 8 12	1	(12*(2*8))-7		
2 7 10 11	1	((10+7)*11)-2		
2 8 9 11	2	(11*(8+9))-2	(11*(2*8))+9	
2 8 13 13	1	(13*13)+(2*8)		
2 9 11 13	1	(11*(2*9))-13		
2 10 11 13	1	10*((11/2)+13)		
2 10 12 13	1	10*(12+(13/2))		
2 10 13 13	1	(13*(13+2))-10		
3 3 11 13	1	((11+3)*13)+3		
3 4 5 10	1	((10*4)-3)*5		
3 4 5 11	1	((11*3)+4)*5		
3 4 7 9	1	(3*(7*9))-4		
3 4 10 13	1	((10+4)*13)+3		
3 5 5 8	1	5*((5*8)-3)		
3 5 5 12	1	(12*(3*5))+5		
3 5 6 10	1	(10*(3*6))+5		
3 5 7 10	1	((10*3)+7)*5		
3 5 8 13	1	(13+(3*8))*5		
3 5 9 10	1	(10+(3*9))*5		
3 5 9 13	1	(13*(5+9))+3		
3 5 10 13	1	(13*(3*5))-10		
3 5 12 12	1	(12*(12+3))+5		
3 6 8 13	1	(13*(6+8))+3		
3 6 11 13	1	(11*(3*6))-13		
3 7 7 13	1	(13*(7+7))+3		
3 7 8 8	1	(3*(8*8))-7		
3 7 12 13	1	(12*(13+3))-7		
3 7 13 13	1	((13+13)*7)+3		
3 9 11 13	1	(11*(13+3))+9		
3 10 12 13	1	((12+3)*13)-10		
3 13 13 13	1	13+((13*13)+3)		
4 4 7 12	1	(12*(4*4))-7		
4 4 9 11	1	(11*(4*4))+9		
4 4 13 13	1	(13*13)+(4*4)		
4 5 5 8	1	((4*8)+5)*5		
4 5 5 9	1	(4*(5*9))+5		
4 5 6 13	1	(13+(4*6))*5		
4 5 7 9	1	((4*7)+9)*5		
4 5 7 11	1	((11*4)-7)*5		
4 5 11 12	2	((11+4)*12)+5	((12*4)-11)*5	
4 6 7 8	1	(4*(6*8))-7		
4 7 7 11	1	(4*(7*7))-11		
4 7 12 12	1	(12*(12+4))-7		
4 8 9 13	1	((13+8)*9)-4		
4 9 9 12	1	((12+9)*9)-4		
4 9 10 11	1	((10+11)*9)-4		
4 9 11 12	1	(11*(12+4))+9		
4 10 11 13	1	((11+4)*13)-10		
4 12 13 13	1	12+((13*13)+4)		
5 5 5 12	1	(12+(5*5))*5		
5 5 6 6	1	5+(5*(6*6))		
5 5 6 7	2	5*((6*7)-5)	5*((5*6)+7)	
5 5 7 10	1	10+(5*(5*7))		
5 5 8 9	1	5*((5*9)-8)		
5 5 10 12	1	((10+5)*12)+5		
5 5 10 13	2	((10*5)-13)*5	(10*(13+5))+5	
5 6 8 11	1	5*((6*8)-11)		
5 6 9 12	1	(12*(6+9))+5		
5 6 10 12	1	(10*(12+6))+5		
5 6 10 13	1	(10*(13+6))-5		
5 7 7 12	1	5*((7*7)-12)		
5 7 8 12	1	(12*(7+8))+5		
5 7 9 13	1	((13+7)*9)+5		
5 7 10 11	1	(10*(11+7))+5		
5 7 10 12	1	(10*(12+7))-5		
5 7 11 12	1	((11+5)*12)-7		
5 8 9 12	1	((12+8)*9)+5		
5 8 10 10	1	(10*(10+8))+5		
5 8 10 11	1	(10*(11+8))-5		
5 9 9 10	1	(10*(9+9))+5		
5 9 9 11	1	((11+9)*9)+5		
5 9 10 10	2	((10+10)*9)+5	(10*(10+9))-5	
5 9 11 11	1	(11*(11+5))+9		
5 10 10 13	1	((10+5)*13)-10		
5 10 11 13	1	(10*13)+(11*5)		
5 10 12 13	1	(10*12)+(13*5)		
5 11 13 13	3	11+((13*13)+5)	(11+(13+13))*5	(11*(13+5))-13
5 12 12 13	1	(12+(12+13))*5		
6 7 10 12	1	((10+6)*12)-7		
6 7 11 13	1	(11*13)+(6*7)		
6 9 10 11	1	((10+6)*11)+9		
6 9 10 13	1	(13*(6+9))-10		
6 10 13 13	1	10+((13*13)+6)		
6 11 12 13	1	(11*(12+6))-13		
7 7 9 12	1	(12*(7+9))-7		
7 8 8 12	1	(12*(8+8))-7		
7 8 10 13	1	(13*(7+8))-10		
7 8 11 13	1	((11+13)*8)-7		
7 8 12 12	1	((12+12)*8)-7		
7 9 9 11	1	(11*(7+9))+9		
7 9 11 12	1	(11*7)+(12*9)		
7 9 13 13	1	(13*13)+(7+9)		
7 10 12 13	1	10+((12+13)*7)		
7 11 11 13	1	(11*(11+7))-13		
8 8 9 11	1	(11*(8+8))+9		
8 8 11 11	1	(11*11)+(8*8)		
8 8 13 13	1	(13*13)+(8+8)		
8 9 9 13	2	((13+9)*8)+9	(13*8)+(9*9)	
8 9 10 12	1	((10+12)*8)+9		
8 9 11 11	1	((11+11)*8)+9		
8 10 11 13	1	((10+8)*11)-13		
9 9 11 13	1	(11*(9+9))-13		
9 9 13 13	1	((13+9)*9)-13		
9 10 12 13	1	((10+12)*9)-13		
9 11 11 13	1	((11+11)*9)-13		
