0 3 13 13	1	0+((13*13)-3)	
0 10 12 13	1	0+(10+(12*13))	
1 2 7 12	1	((12*7)-1)*2	
1 2 11 13	1	1+(11*(13+2))	
1 2 12 13	1	((1+13)*12)-2	
1 2 13 13	1	(13*13)-(1+2)	
1 3 5 11	1	1+(11*(3*5))	
1 3 11 12	1	1+(11*(12+3))	
1 3 12 13	1	((1+12)*13)-3	
1 3 13 13	1	1*((13*13)-3)	
1 4 11 11	1	1+(11*(11+4))	
1 4 13 13	1	(1+(13*13))-4	
1 5 10 11	1	1+((10+5)*11)	
1 6 9 11	1	1+(11*(6+9))	
1 7 8 11	1	1+(11*(7+8))	
1 9 12 13	1	1+((12*13)+9)	
1 10 11 13	1	((1+11)*13)+10	
1 10 12 12	1	((1+12)*12)+10	
1 10 12 13	1	1*(10+(12*13))	
1 10 13 13	1	10+(13*(13-1))	
1 11 12 13	2	(11+(12*13))-1	((1+13)*11)+12
2 2 7 12	1	(12*(2*7))-2	
2 2 9 9	1	2*(2+(9*9))	
2 2 12 12	1	(12*(12+2))-2	
2 3 7 8	1	(3*(7*8))-2	
2 3 8 10	1	((10*8)+3)*2	
2 3 11 12	1	((11+3)*12)-2	
2 3 11 13	1	((11+2)*13)-3	
2 4 6 7	1	(4*(6*7))-2	
2 4 9 9	1	(2*(9*9))+4	
2 4 10 12	1	((10+4)*12)-2	
2 5 6 13	1	((13*6)+5)*2	
2 5 8 11	1	((11*8)-5)*2	
2 5 9 12	1	(12*(5+9))-2	
2 5 12 13	1	(12*13)+(2*5)	
2 5 13 13	1	((13*13)+2)-5	
2 6 7 11	1	((11*7)+6)*2	
2 6 8 10	1	(10*(2*8))+6	
2 6 8 12	1	(12*(6+8))-2	
2 6 10 13	1	10+(13*(2*6))	
2 6 11 12	1	(11+(12*6))*2	
2 6 13 13	1	(13*13)-(6/2)	
2 7 7 12	1	(12*(7+7))-2	
2 7 8 13	1	((13*7)-8)*2	
2 7 9 10	1	((10*9)-7)*2	
2 7 10 13	1	((10*7)+13)*2	
2 7 11 12	1	(11*(2*7))+12	
2 7 11 13	1	((11+13)*7)-2	
2 7 12 12	1	((12+12)*7)-2	
2 8 8 13	1	((13+8)*8)-2	
2 8 9 11	1	(11+(8*9))*2	
2 8 9 12	1	((12+9)*8)-2	
2 8 10 11	2	((10+11)*8)-2	(11*(2*8))-10
2 8 12 13	2	(12*13)+(2+8)	((12*8)-13)*2
2 10 10 13	1	10+((10+2)*13)	
2 10 11 12	1	10+((11+2)*12)	
2 11 12 12	2	(11*2)+(12*12)	(11*(12+2))+12
2 12 12 13	1	(12+(12*13))-2	
3 3 10 13	1	((10+3)*13)-3	
3 4 6 9	1	(3*(6*9))+4	
3 4 9 13	1	(13*(4+9))-3	
3 4 10 13	1	10+(13*(3*4))	
3 5 8 13	1	(13*(5+8))-3	
3 6 7 13	1	(13*(6+7))-3	
3 6 10 13	1	(10*(13+3))+6	
3 6 13 13	1	((13*13)+3)-6	
3 7 12 13	1	(12*13)+(3+7)	
3 9 10 13	1	10+(13*(3+9))	
3 9 13 13	1	(13*13)-(9/3)	
3 10 10 12	1	10+((10+3)*12)	
3 10 11 13	1	(11*(13+3))-10	
3 10 12 13	1	(10*13)+(12*3)	
3 11 11 12	1	(11*(11+3))+12	
3 12 13 13	1	((12*13)+13)-3	
3 13 13 13	1	13*(13-(3/13))	
4 4 6 10	1	(10*(4*4))+6	
4 4 10 11	1	(11*(4*4))-10	
4 4 10 13	1	(10*(13+4))-4	
4 5 6 8	1	(4*(5*8))+6	
4 5 9 13	1	((13+5)*9)+4	
4 5 10 12	1	(10*(12+5))-4	
4 6 9 12	1	((12+6)*9)+4	
4 6 10 11	1	(10*(11+6))-4	
4 6 10 12	1	(10*(12+4))+6	
4 6 12 13	1	(12*13)+(4+6)	
4 7 9 11	1	((11+7)*9)+4	
4 7 10 10	1	(10*(10+7))-4	
4 7 13 13	1	((13*13)+4)-7	
4 8 9 10	2	(10*(8+9))-4	((10+8)*9)+4
4 8 10 13	1	10+(13*(4+8))	
4 9 9 9	1	4+(9*(9+9))	
4 9 10 12	1	10+(12*(4+9))	
4 9 10 13	1	(10*13)+(4*9)	
4 9 13 13	1	13+((13+4)*9)	
4 10 11 12	2	((10+4)*11)+12	(11*(12+4))-10
4 12 13 13	1	(13*13)-(12/4)	
5 5 7 9	1	(5*(5*7))-9	
5 5 12 13	1	(12*13)+(5+5)	
5 6 9 13	1	((13+6)*9)-5	
5 6 10 11	1	(10*(11+5))+6	
5 6 12 13	1	12*(13+(5/6))	
5 7 9 12	1	((12+7)*9)-5	
5 7 10 13	2	((10+13)*7)+5	10+(13*(5+7))
5 7 11 12	1	((11+12)*7)+5	
5 8 9 11	1	((11+8)*9)-5	
5 8 10 12	1	10+(12*(5+8))	
5 8 13 13	1	((13*13)+5)-8	
5 9 9 10	1	((10+9)*9)-5	
5 9 11 11	1	(11*11)+(5*9)	
5 9 11 12	1	(11*(5+9))+12	
5 9 12 13	1	((12+5)*9)+13	
5 10 11 11	1	(11*(11+5))-10	
6 6 10 10	1	(10*(10+6))+6	
6 6 10 13	2	(10*13)+(6*6)	10+(13*(6+6))
6 7 8 13	1	((13+7)*8)+6	
6 7 9 10	1	(10*(7+9))+6	
6 7 10 12	1	10+(12*(6+7))	
6 8 8 10	1	(10*(8+8))+6	
6 8 8 12	1	((12+8)*8)+6	
6 8 9 11	1	((11+9)*8)+6	
6 8 10 10	1	((10+10)*8)+6	
6 8 11 12	1	(11*(6+8))+12	
6 8 11 13	1	(11*8)+(13*6)	
6 9 11 13	1	((11+6)*9)+13	
6 9 13 13	1	((13*13)+6)-9	
6 10 10 11	2	((10+6)*11)-10	(10*10)+(11*6)
6 10 13 13	1	10+((13+13)*6)	
6 11 12 12	1	((11/6)+12)*12	
7 7 9 13	1	(13*9)+(7*7)	
7 7 11 12	1	(11*(7+7))+12	
7 8 10 11	1	(10*11)+(7*8)	
7 8 10 12	1	(10*7)+(12*8)	
7 9 10 11	1	(11*(7+9))-10	
7 9 10 13	1	((10+7)*9)+13	
