0 2 12 13	1	0+((12*13)+2)	
0 11 13 13	1	0+((13*13)-11)	
1 1 12 13	1	1+(1+(12*13))	
1 2 6 13	1	(1+(13*6))*2	
1 2 8 10	1	((10*8)-1)*2	
1 2 11 13	1	((1+11)*13)+2	
1 2 12 12	1	((1+12)*12)+2	
1 2 12 13	1	1*((12*13)+2)	
1 2 13 13	1	(13*(13-1))+2	
1 3 12 13	1	((12*13)+3)-1	
1 4 11 13	1	((1+13)*11)+4	
1 6 12 13	1	((1/6)+13)*12	
1 10 12 13	1	((1+13)*12)-10	
1 10 13 13	1	(13*13)-(1+10)	
1 11 12 13	1	((1+12)*13)-11	
1 11 13 13	1	1*((13*13)-11)	
1 12 12 13	1	1+((12*12)+13)	
1 12 13 13	1	(1+(13*13))-12	
2 2 6 13	1	(13*(2*6))+2	
2 2 7 11	1	((11*7)+2)*2	
2 2 8 10	1	(10*(2*8))-2	
2 2 9 9	1	2*((9*9)-2)	
2 2 10 13	1	((10+2)*13)+2	
2 2 11 12	1	((11+2)*12)+2	
2 3 4 13	1	(13*(3*4))+2	
2 3 9 13	1	(13*(3+9))+2	
2 3 10 12	1	((10+3)*12)+2	
2 3 10 13	1	(10*(13+3))-2	
2 4 4 10	1	(10*(4*4))-2	
2 4 5 8	1	(4*(5*8))-2	
2 4 7 11	1	(11*(2*7))+4	
2 4 8 13	1	(13*(4+8))+2	
2 4 9 9	1	(2*(9*9))-4	
2 4 9 12	1	(12*(4+9))+2	
2 4 10 12	1	(10*(12+4))-2	
2 4 11 12	1	(11*(12+2))+4	
2 4 12 13	2	((12*13)+4)-2	(12*13)+(4/2)
2 5 7 12	1	((12*7)-5)*2	
2 5 7 13	1	(13*(5+7))+2	
2 5 8 12	1	(12*(5+8))+2	
2 5 10 11	1	(10*(11+5))-2	
2 6 6 13	1	(13*(6+6))+2	
2 6 7 12	2	(12*(6+7))+2	((12*6)+7)*2
2 6 10 10	1	(10*(10+6))-2	
2 6 11 13	1	((11*6)+13)*2	
2 6 13 13	1	((13+13)*6)+2	
2 7 8 9	1	2*(7+(8*9))	
2 7 8 13	1	((13+7)*8)-2	
2 7 9 10	2	(10*(7+9))-2	((10*7)+9)*2
2 7 10 12	1	(12*(2*7))-10	
2 7 11 13	1	(11*(13+2))-7	
2 7 12 12	1	(12*12)+(2*7)	
2 7 12 13	1	((13*7)-12)*2	
2 8 8 10	1	(10*(8+8))-2	
2 8 8 12	1	((12+8)*8)-2	
2 8 9 11	2	((11+9)*8)-2	((11*8)-9)*2
2 8 10 10	1	((10+10)*8)-2	
2 8 10 13	1	(10*(13+2))+8	
2 9 10 11	1	((10*9)-11)*2	
2 9 13 13	1	(13*13)-(2+9)	
2 10 12 12	1	(12*(12+2))-10	
2 11 11 13	1	((11+2)*13)-11	
2 11 12 13	1	(11*12)+(13*2)	
2 11 13 13	1	(11*13)+(13+2)	
2 12 12 12	1	12+((12*12)+2)	
2 12 12 13	1	12*(13+(2/12))	
2 12 13 13	1	(12+(2/13))*13	
2 13 13 13	1	((13*13)+2)-13	
3 4 6 9	1	(3*(6*9))-4	
3 4 11 11	1	(11*(11+3))+4	
3 5 7 11	1	(11*(3*5))-7	
3 5 8 10	1	(10*(3*5))+8	
3 5 11 13	1	(11*13)+(3*5)	
3 5 12 13	1	((12*13)+5)-3	
3 6 12 13	1	(12*13)+(6/3)	
3 7 7 11	1	11+(3*(7*7))	
3 7 8 10	1	(3*(7*8))-10	
3 7 10 13	1	((10+13)*7)-3	
3 7 11 12	2	((11+12)*7)-3	(11*(12+3))-7
3 8 10 12	1	(10*(12+3))+8	
3 8 13 13	1	(13*13)-(3+8)	
3 10 11 12	1	((11+3)*12)-10	
3 10 11 13	1	((10+3)*13)-11	
3 11 12 12	1	11+((12*12)+3)	
3 11 12 13	1	(11*13)+(12+3)	
4 4 10 11	1	((10+4)*11)+4	
4 5 9 11	1	(11*(5+9))+4	
4 5 9 13	2	((13+5)*9)-4	((13+4)*9)+5
4 6 7 10	1	(4*(6*7))-10	
4 6 8 11	1	(11*(6+8))+4	
4 6 9 12	1	((12+6)*9)-4	
4 6 12 13	1	((12*13)+6)-4	
4 7 7 11	1	(11*(7+7))+4	
4 7 9 11	1	((11+7)*9)-4	
4 7 9 13	1	((13+9)*7)+4	
4 7 10 12	1	((10+12)*7)+4	
4 7 10 13	1	(10*13)+(4*7)	
