0 12 13 13	1	0+(12+(13*13))			
1 1 13 13	1	((1+13)*13)-1			
1 2 7 13	1	(13*(2*7))-1			
1 2 9 10	1	1+(10*(2*9))			
1 2 12 13	2	((12+2)*13)-1	1+(12*(13+2))		
1 3 5 12	1	1+(12*(3*5))			
1 3 6 10	1	1+(10*(3*6))			
1 3 11 13	1	((11+3)*13)-1			
1 3 12 12	1	1+(12*(12+3))			
1 4 5 9	1	1+(4*(5*9))			
1 4 10 13	1	((10+4)*13)-1			
1 4 11 12	1	1+((11+4)*12)			
1 5 6 6	1	1+(5*(6*6))			
1 5 9 13	1	(13*(5+9))-1			
1 5 10 12	1	1+((10+5)*12)			
1 5 10 13	1	1+(10*(13+5))			
1 6 8 13	1	(13*(6+8))-1			
1 6 9 12	1	1+(12*(6+9))			
1 6 10 12	1	1+(10*(12+6))			
1 7 7 13	1	(13*(7+7))-1			
1 7 8 12	1	1+(12*(7+8))			
1 7 9 13	1	1+((13+7)*9)			
1 7 10 11	1	1+(10*(11+7))			
1 7 13 13	1	((13+13)*7)-1			
1 8 9 12	1	1+((12+8)*9)			
1 8 10 10	1	1+(10*(10+8))			
1 9 9 10	1	1+(10*(9+9))			
1 9 9 11	1	1+((11+9)*9)			
1 9 10 10	1	1+((10+10)*9)			
1 11 13 13	1	1+(11+(13*13))			
1 12 12 13	1	((1+12)*13)+12			
1 12 13 13	2	1*(12+(13*13))	((1+13)*12)+13		
1 13 13 13	1	(13+(13*13))-1			
2 5 8 11	1	(11*(2*8))+5			
2 6 13 13	1	(13*13)+(2*6)			
2 7 12 13	1	(12*(2*7))+13			
2 8 11 12	1	(12*(2*8))-11			
2 10 13 13	1	10+((13*13)+2)			
2 11 12 13	1	((11+2)*13)+12			
2 12 12 13	1	(12*(12+2))+13			
3 4 13 13	1	(13*13)+(3*4)			
3 5 11 13	1	(11*(13+3))+5			
3 7 8 9	1	(3*(7*9))-8			
3 7 8 13	1	13+(3*(7*8))			
3 8 8 11	1	(3*(8*8))-11			
3 8 10 13	1	((10+13)*8)-3			
3 8 11 12	1	((11+12)*8)-3			
3 9 13 13	1	(13*13)+(3+9)			
3 10 12 13	1	((10+3)*13)+12			
3 11 12 13	2	((11+3)*12)+13	(12*(13+3))-11		
4 4 5 11	1	(11*(4*4))+5			
4 4 11 12	1	(12*(4*4))-11			
4 5 11 12	1	(11*(12+4))+5			
4 6 7 13	1	13+(4*(6*7))			
4 6 8 11	1	(4*(6*8))-11			
4 6 11 13	1	(11*(13+4))-6			
4 8 13 13	1	(13*13)+(4+8)			
4 9 12 13	1	12+(13*(4+9))			
4 10 11 13	1	(10*(13+4))+11			
4 10 12 13	1	((10+4)*12)+13			
4 11 12 12	1	(12*(12+4))-11			
5 5 6 7	1	(5*(5*7))+6			
5 5 11 11	1	(11*(11+5))+5			
5 5 12 13	1	(12*13)+(5*5)			
5 6 10 11	1	((10+6)*11)+5			
5 6 11 12	1	(11*(12+5))-6			
5 7 9 11	1	(11*(7+9))+5			
5 7 13 13	1	(13*13)+(5+7)			
5 8 8 11	1	(11*(8+8))+5			
5 8 9 13	1	((13+9)*8)+5			
5 8 10 12	1	((10+12)*8)+5			
5 8 11 11	1	((11+11)*8)+5			
5 8 12 13	1	12+(13*(5+8))			
5 9 12 13	1	(12*(5+9))+13			
5 10 11 12	1	(10*(12+5))+11			
5 11 11 12	2	((11+5)*12)-11	(11*11)+(12*5)		
6 6 11 11	1	(11*(11+6))-6			
6 6 13 13	1	(13*13)+(6+6)			
6 7 10 11	1	((10+7)*11)-6			
6 7 12 13	2	((12+13)*7)+6	12+(13*(6+7))		
6 8 9 11	1	(11*(8+9))-6			
6 8 12 13	1	(12*(6+8))+13			
6 9 10 13	2	10+((13+6)*9)	(10*(13+6))-9		
6 10 11 11	2	(10*6)+(11*11)	(10*(11+6))+11		
6 10 11 12	1	((10+6)*12)-11			
7 7 11 12	1	(11*12)+(7*7)			
7 7 12 13	1	(12*(7+7))+13			
7 8 11 13	1	(11*7)+(13*8)			
7 9 10 12	2	10+((12+7)*9)	(10*(12+7))-9		
7 9 10 13	1	(10*9)+(13*7)			
7 9 11 12	1	(12*(7+9))-11			
7 10 10 11	1	(10*(10+7))+11			
7 11 13 13	1	((11+13)*7)+13			
7 12 12 13	1	((12+12)*7)+13			
8 8 9 13	2	(13*9)+(8*8)	((13+8)*9)-8		
8 8 11 12	1	(12*(8+8))-11			
8 8 13 13	1	13+((13+8)*8)			
8 9 9 12	1	((12+9)*9)-8			
8 9 10 11	4	(10*(8+9))+11	((10+11)*9)-8	10+((11+8)*9)	(10*(11+8))-9
8 9 12 13	1	((12+9)*8)+13			
8 10 11 13	1	((10+11)*8)+13			
8 11 11 13	1	((11+13)*8)-11			
8 11 12 12	1	((12+12)*8)-11			
9 9 10 10	3	(10*(10+9))-9	10+((10+9)*9)	(10*10)+(9*9)	
12 12 13 13	1	12+((12*13)+13)			
12 13 13 13	1	((12/13)+13)*13			
