1 6 7 12	1	((12*7)-1)*6
2 5 10 10	1	(10*(10*5))-2
2 6 9 9	1	(2+(9*9))*6
3 3 13 13	1	((13*13)-3)*3
3 5 9 11	1	(11*(5*9))+3
3 6 8 10	1	((10*8)+3)*6
3 9 13 13	1	(13*(13*3))-9
3 10 12 13	1	(10+(12*13))*3
5 6 6 13	1	((13*6)+5)*6
5 6 8 11	1	((11*8)-5)*6
6 6 7 11	1	((11*7)+6)*6
6 6 7 12	1	(12*(6*7))-6
6 6 11 12	1	(11+(12*6))*6
6 7 8 9	1	(7*(8*9))-6
6 7 8 13	1	((13*7)-8)*6
6 7 9 10	1	((10*9)-7)*6
6 7 10 13	1	((10*7)+13)*6
6 8 9 11	1	(11+(8*9))*6
6 8 12 13	1	((12*8)-13)*6
6 9 9 12	1	12+(6*(9*9))
7 7 8 10	1	(10*(7*7))+8
