0 5 9 10	1	0+(10*(5*9))	
1 4 9 10	1	(1+4)*(10*9)	
1 4 10 11	1	(1+(11*4))*10	
1 5 7 13	1	((13*7)-1)*5	
1 5 8 10	1	(1+8)*(10*5)	
1 5 9 9	1	(1+9)*(5*9)	
1 5 9 10	1	1*(10*(5*9))	
1 5 9 11	1	(11-1)*(5*9)	
1 5 10 10	1	10*((10-1)*5)	
1 6 9 10	1	10*((6-1)*9)	
1 7 7 9	1	(1+(7*7))*9	
2 3 9 10	1	10*((2+3)*9)	
2 3 10 13	1	10*((13+2)*3)	
2 4 9 12	1	((12*4)+2)*9	
2 4 9 13	1	((13*4)-2)*9	
2 5 5 9	1	2*(5*(5*9))	
2 5 6 13	1	(13+2)*(5*6)	
2 5 7 10	1	10*((2+7)*5)	
2 5 8 9	1	(2+8)*(5*9)	
2 5 8 11	1	((11*8)+2)*5	
2 5 9 12	1	(12-2)*(5*9)	
2 5 10 11	1	10*((11-2)*5)	
2 6 7 11	1	((11*7)-2)*6	
2 6 8 9	1	(2+(6*8))*9	
2 7 8 8	1	2+(7*(8*8))	
2 7 9 10	1	10*((7-2)*9)	
2 9 10 10	1	(10*(10*9))/2	
2 9 12 13	1	(12+13)*(2*9)	
3 3 5 10	1	10*(3*(3*5))	
3 3 10 12	1	10*((12+3)*3)	
3 4 10 11	1	10*((11+4)*3)	
3 4 10 12	1	10*((12*4)-3)	
3 5 5 6	1	3*(5*(5*6))	
3 5 6 10	1	10*((3+6)*5)	
3 5 6 12	1	(12+3)*(5*6)	
3 5 7 9	1	(3+7)*(5*9)	
3 5 9 13	1	(13-3)*(5*9)	
3 5 10 10	1	10*((10+5)*3)	
3 5 10 12	1	10*((12-3)*5)	
3 6 6 12	1	((12*6)+3)*6	
3 6 6 13	1	((13*6)-3)*6	
3 6 7 10	1	10*(3+(6*7))	
3 6 8 9	1	(3+(8*9))*6	
3 6 8 10	1	10*((6*8)-3)	
3 6 9 10	1	10*(3*(6+9))	
3 6 10 13	1	10*((13*3)+6)	
3 6 12 12	1	((12*12)+6)*3	
3 6 12 13	2	((12*13)-6)*3	(12+13)*(3*6)
3 7 8 10	1	10*(3*(7+8))	
3 7 11 13	1	((11*13)+7)*3	
3 8 9 10	1	10*((8-3)*9)	
3 9 10 12	1	10*((12*3)+9)	
3 9 11 13	1	(11+(13*3))*9	
3 10 11 12	1	10*((11*3)+12)	
4 5 5 10	1	10*((4+5)*5)	
4 5 6 9	1	(4+6)*(5*9)	
4 5 6 11	1	(11+4)*(5*6)	
4 5 10 10	1	10*((10*4)+5)	
4 5 10 13	1	10*((13-4)*5)	
4 6 9 9	1	((6*9)-4)*9	
4 6 9 11	1	((11*4)+6)*9	
4 7 7 10	1	10*((7*7)-4)	
4 7 10 13	1	10*((13*4)-7)	
4 8 10 13	1	10*(13+(4*8))	
4 9 9 10	2	10*(9*(9-4))	10*((4*9)+9)
4 9 10 10	1	(10+(10*4))*9	
4 10 10 11	1	10+(10*(11*4))	
5 5 5 9	1	5*((5+5)*9)	
5 5 5 13	1	(13+5)*(5*5)	
5 5 6 10	1	(10+5)*(5*6)	
5 5 6 12	1	(12+6)*(5*5)	
5 5 7 11	1	(11+7)*(5*5)	
5 5 7 13	1	(13*(5*7))-5	
5 5 8 10	2	10*(5+(5*8))	(10+8)*(5*5)
5 5 9 9	2	(5+(5*9))*9	5*(5*(9+9))
5 5 9 11	1	((11*5)-5)*9	
5 5 10 10	1	10*((10*5)-5)	
5 6 6 9	1	5*(6*(6+9))	
5 6 7 8	1	5*(6*(7+8))	
5 6 7 10	1	((10*7)+5)*6	
5 6 7 12	1	((12*7)+6)*5	
5 6 8 10	1	((10*8)-5)*6	
5 6 8 12	1	((12*8)-6)*5	
5 6 10 13	1	(10+(13*5))*6	
5 6 12 13	1	(12+(13*6))*5	
5 7 10 10	1	10*(10+(5*7))	
5 7 11 13	1	((11*7)+13)*5	
5 8 9 10	1	(10+(5*8))*9	
5 8 10 10	1	(10+(10*8))*5	
5 8 10 11	1	10+(11*(5*8))	
5 9 9 9	1	5*(9+(9*9))	
5 9 9 11	1	((11*9)-9)*5	
5 9 10 10	1	10*((10-5)*9)	
5 9 10 12	1	((12*5)-10)*9	
5 10 10 10	1	((10*10)-10)*5	
5 10 10 11	1	10*((11*5)-10)	
5 12 13 13	1	(12+13)*(13+5)	
6 6 9 9	1	6*((9*9)-6)	
6 6 9 10	1	10*((6*6)+9)	
6 6 9 11	1	((11*6)+9)*6	
6 7 8 9	2	((7*8)-6)*9	((6*7)+8)*9
6 7 9 12	2	(12+(7*9))*6	((12*7)-9)*6
6 7 11 12	1	(11*(6*7))-12	
6 8 8 11	1	(11+(8*8))*6	
6 8 11 13	1	((11*8)-13)*6	
6 9 9 10	1	10*((6*9)-9)	
6 9 10 10	1	((10*6)-10)*9	
6 9 10 11	1	10*((11-6)*9)	
6 12 12 13	1	(12+13)*(12+6)	
7 7 9 9	1	(7*(7*9))+9	
7 8 10 11	1	10*((7*8)-11)	
7 9 9 13	1	((7*9)-13)*9	
7 9 10 12	1	10*((12-7)*9)	
7 11 12 13	1	(11+7)*(12+13)	
8 9 10 13	1	10*((13-8)*9)	
8 10 12 13	1	(10+8)*(12+13)	
9 9 12 13	1	(12+13)*(9+9)	
