1 5 7 12	1	(1+(12*7))*5	
3 4 11 13	1	(11*(13*3))-4	
3 5 8 11	1	((11*8)-3)*5	
3 7 12 12	1	(12*(12*3))-7	
4 5 5 13	1	(13+4)*(5*5)	
4 5 9 9	1	(4+(9*9))*5	
4 7 9 12	1	(12*(4*9))-7	
4 8 9 13	1	(13*(4*8))+9	
4 12 13 13	1	(12+13)*(13+4)	
5 5 5 12	1	(12+5)*(5*5)	
5 5 6 11	1	(11+6)*(5*5)	
5 5 7 10	1	(10+7)*(5*5)	
5 5 7 12	1	(12*(5*7))+5	
5 5 8 9	1	5*(5*(8+9))	
5 5 8 10	1	((10*8)+5)*5	
5 5 9 10	1	((10*9)-5)*5	
5 6 7 10	1	(10*(6*7))+5	
5 6 7 13	2	((13*7)-6)*5	((13*6)+7)*5
5 6 12 13	1	((12*6)+13)*5	
5 7 8 11	1	((11*7)+8)*5	
5 8 9 13	1	(13+(8*9))*5	
5 8 11 12	1	((12*8)-11)*5	
5 12 12 13	1	(12+13)*(12+5)	
6 6 7 12	1	(12*(6*6))-7	
6 7 8 9	1	(6*(8*9))-7	
6 11 12 13	1	(11+6)*(12+13)	
7 10 12 13	1	(10+7)*(12+13)	
8 9 12 13	1	(12+13)*(8+9)	
