1 4 8 13	1	(1+(13*4))*8
1 6 8 9	1	((6*9)-1)*8
2 4 8 13	1	((13*8)+2)*4
2 4 9 12	1	((12*9)-2)*4
2 5 8 11	1	((11*5)-2)*8
3 5 8 10	1	((10*5)+3)*8
3 5 11 13	1	(11*(13*3))-5
3 7 8 8	1	((7*8)-3)*8
3 8 12 12	1	(12*(12*3))-8
4 4 10 11	1	((10*11)-4)*4
4 5 7 12	1	(12*(5*7))+4
4 5 8 12	1	((12*4)+5)*8
4 6 7 10	1	(10*(6*7))+4
4 6 10 10	1	((10*10)+6)*4
4 7 7 8	1	(4+(7*7))*8
4 7 9 11	1	((11*9)+7)*4
4 8 8 13	1	(13*(4*8))+8
4 8 9 11	1	((11*4)+9)*8
4 8 9 12	1	(12*(4*9))-8
4 8 10 12	1	(10+(12*8))*4
4 8 10 13	1	((10*4)+13)*8
4 9 11 13	1	((13*9)-11)*4
5 6 8 8	1	(5+(6*8))*8
5 7 8 12	1	((12*5)-7)*8
5 8 8 9	1	((5*9)+8)*8
5 8 8 13	1	(13+(5*8))*8
5 8 12 13	1	((13*5)-12)*8
6 6 8 12	1	(12*(6*6))-8
6 7 8 10	1	((10*6)-7)*8
6 7 8 11	1	(11+(6*7))*8
6 8 8 9	1	(6*(8*9))-8
6 8 11 13	1	((11*6)-13)*8
7 8 9 10	1	((7*9)-10)*8
8 8 8 11	1	8*((8*8)-11)
