1 5 8 11	1	(1+(11*8))*5
1 5 9 10	1	((10*9)-1)*5
2 5 7 13	1	((13*7)-2)*5
3 7 8 8	1	(7*(8*8))-3
3 12 12 13	1	(12*(12*3))+13
4 5 10 11	1	(10*(11*4))+5
4 7 7 9	1	4+(7*(7*9))
4 9 12 13	1	(12*(4*9))+13
5 5 7 12	1	((12*7)+5)*5
5 5 8 11	1	(11*(5*8))+5
5 5 9 10	1	(10*(5*9))-5
5 6 11 13	1	(11+(13*6))*5
5 7 8 12	1	((12*8)-7)*5
5 7 10 13	1	(13*(5*7))-10
5 7 11 12	1	((11*7)+12)*5
5 8 9 9	1	5*(8+(9*9))
5 8 9 10	1	((10*8)+9)*5
5 9 10 11	1	((11*9)-10)*5
5 10 10 11	1	((10*10)-11)*5
6 6 12 13	1	(12*(6*6))+13
6 8 9 13	1	13+(6*(8*9))
