1 3 13 13	1	13*((13*3)-1)
1 5 9 11	1	(11*(5*9))-1
2 3 12 13	1	((12*3)+2)*13
2 4 9 13	1	13*(2+(4*9))
2 4 10 13	1	((10*4)-2)*13
2 5 8 13	1	13*((5*8)-2)
2 6 6 13	1	13*(2+(6*6))
2 6 13 13	1	13*((13+6)*2)
2 7 12 13	1	(12+7)*(13*2)
2 8 11 13	1	(11+8)*(13*2)
2 9 10 13	1	(10+9)*(13*2)
2 12 13 13	1	(12+(13*2))*13
3 5 7 13	1	13*(3+(5*7))
3 5 11 13	1	((11*3)+5)*13
3 8 10 13	1	((10*3)+8)*13
3 9 11 13	1	(11+(3*9))*13
3 13 13 13	1	(13*(13*3))-13
4 6 7 13	1	13*((6*7)-4)
4 6 8 13	1	13*((4*8)+6)
4 6 11 13	1	((11*4)-6)*13
4 7 7 10	1	(10*(7*7))+4
4 7 10 13	1	(10+(4*7))*13
4 10 11 11	1	10+(11*(11*4))
4 10 12 13	1	((12*4)-10)*13
5 5 13 13	1	13*(13+(5*5))
5 6 8 13	1	13*((5*6)+8)
5 6 10 10	1	(10*(10*5))-6
5 7 9 13	1	13*((5*9)-7)
5 10 12 13	1	((10*5)-12)*13
6 7 10 12	1	(12*(6*7))-10
6 8 9 9	1	(6*(9*9))+8
6 8 10 13	1	13*((6*8)-10)
6 13 13 13	1	(13+13)*(13+6)
7 7 11 13	1	13*((7*7)-11)
7 8 9 10	1	(7*(8*9))-10
7 12 13 13	1	(12+7)*(13+13)
8 11 13 13	1	(11+8)*(13+13)
9 10 13 13	1	(10+9)*(13+13)
12 13 13 13	1	(12+(13+13))*13
