0 4 13 13	1	0+(13*(13+4))			
0 5 12 13	1	0+((12+5)*13)			
0 6 11 13	1	0+((11+6)*13)			
0 7 10 13	1	0+((10+7)*13)			
0 8 9 13	1	0+(13*(8+9))			
1 2 8 13	1	(1+(2*8))*13			
1 2 9 13	1	13*((2*9)-1)			
1 2 10 11	1	1+(10*(11*2))			
1 3 6 13	1	13*((3*6)-1)			
1 3 13 13	1	(1+(13+3))*13			
1 4 4 13	1	(1+(4*4))*13			
1 4 5 11	1	1+(11*(4*5))			
1 4 12 13	2	(1+(12+4))*13	(1+12)*(13+4)		
1 4 13 13	1	1*(13*(13+4))			
1 5 11 13	1	(1+(11+5))*13			
1 5 12 12	1	(1+12)*(12+5)			
1 5 12 13	1	1*((12+5)*13)			
1 5 13 13	1	13*((13+5)-1)			
1 6 10 13	1	(1+(10+6))*13			
1 6 11 12	1	(1+12)*(11+6)			
1 6 11 13	1	1*((11+6)*13)			
1 6 12 13	1	((12+6)-1)*13			
1 7 9 13	1	(1+(7+9))*13			
1 7 10 12	1	(1+12)*(10+7)			
1 7 10 13	1	1*((10+7)*13)			
1 7 11 13	2	((11+7)-1)*13	1+(11*(13+7))		
1 8 8 13	1	(1+(8+8))*13			
1 8 9 12	1	(1+12)*(8+9)			
1 8 9 13	1	1*(13*(8+9))			
1 8 10 13	1	((10+8)-1)*13			
1 8 11 12	1	1+(11*(12+8))			
1 9 9 13	1	13*((9+9)-1)			
1 9 10 13	1	1+(10*(13+9))			
1 9 11 11	1	1+(11*(11+9))			
1 10 10 11	1	1+((10+10)*11)			
1 10 10 12	1	1+(10*(10+12))			
1 10 11 11	1	1+(10*(11+11))			
2 2 13 13	2	13*(13+(2+2))	13*(13+(2*2))		
2 3 5 13	1	13*(2+(3*5))			
2 3 7 13	1	13*((2*7)+3)			
2 3 10 13	1	((10*2)-3)*13			
2 3 11 13	1	(11+(2*3))*13			
2 3 12 13	1	(12+(2+3))*13			
2 4 9 13	1	13*((2*4)+9)			
2 4 11 13	2	(11+(2+4))*13	(11+2)*(13+4)		
2 5 6 13	1	13*((2*6)+5)			
2 5 7 13	1	13*((2*5)+7)			
2 5 9 12	1	(12*(2*9))+5			
2 5 10 13	1	(10+(2+5))*13			
2 5 11 12	1	(11+2)*(12+5)			
2 5 11 13	1	((11*2)-5)*13			
2 6 9 13	1	13*(2+(6+9))			
2 6 11 11	1	(11+2)*(11+6)			
2 6 13 13	1	13*((13+6)-2)			
2 7 8 13	1	13*(2+(7+8))			
2 7 10 11	1	(10+7)*(11+2)			
2 7 12 13	2	((12+7)-2)*13	((12*2)-7)*13		
2 8 9 11	1	(11+2)*(8+9)			
2 8 11 13	1	((11+8)-2)*13			
2 8 13 13	2	13+(13*(2*8))	13*(13+(8/2))		
2 9 10 13	1	((10+9)-2)*13			
2 9 13 13	2	(13*(2*9))-13	13*((13*2)-9)		
2 10 12 13	1	((10/2)+12)*13			
2 11 12 13	1	(11+(12/2))*13			
3 3 8 13	1	13*((3*3)+8)			
3 3 11 13	1	(11+(3+3))*13			
3 4 5 13	2	13*((4*5)-3)	13*((3*4)+5)		
3 4 7 8	1	(4*(7*8))-3			
3 4 7 13	1	13*((3*7)-4)			
3 4 10 13	2	(10+(3+4))*13	(10+3)*(13+4)		
3 5 6 12	1	(12*(3*6))+5			
3 5 8 9	1	(3*(8*9))+5			
3 5 9 13	1	13*(3+(5+9))			
3 5 10 12	1	(10+3)*(12+5)			
3 6 8 13	1	13*(3+(6+8))			
3 6 10 11	1	(10+3)*(11+6)			
3 6 13 13	1	(13*(3*6))-13			
3 7 7 13	1	13*(3+(7+7))			
3 7 8 13	1	13*((3*8)-7)			
3 7 10 10	1	(10+3)*(10+7)			
3 7 10 11	2	(10*(3*7))+11	(11*(3*7))-10		
3 7 13 13	1	13*((13+7)-3)			
3 8 9 10	1	(10+3)*(8+9)			
3 8 12 13	1	((12+8)-3)*13			
3 9 10 13	1	13*((3*9)-10)			
3 9 11 13	1	((11+9)-3)*13			
3 10 10 13	1	((10+10)-3)*13			
3 10 13 13	1	((10*3)-13)*13			
3 12 13 13	1	((12/3)+13)*13			
3 13 13 13	1	13+(13*(13+3))			
4 4 9 13	2	13*(4+(4+9))	(13+4)*(4+9)		
4 4 13 13	1	13+(13*(4*4))			
4 5 5 9	1	(5*(5*9))-4			
4 5 6 9	1	(4*(6*9))+5			
4 5 8 13	2	13*(4+(5+8))	(13+4)*(5+8)		
4 5 9 12	1	(12+5)*(4+9)			
4 6 7 13	3	13*(4+(6+7))	13*((4*6)-7)	(13+4)*(6+7)	
4 6 9 11	1	(11+6)*(4+9)			
4 7 9 10	1	(10+7)*(4+9)			
4 7 11 13	1	13*((4*7)-11)			
4 8 9 9	1	(4+9)*(8+9)			
4 8 13 13	1	13*((13+8)-4)			
4 9 12 13	2	((12+9)-4)*13	((12+13)*9)-4		
4 10 11 13	1	((10+11)-4)*13			
4 12 13 13	1	((12+4)*13)+13			
4 13 13 13	1	(13*13)+(13*4)			
5 5 7 13	1	13*(5+(5+7))			
5 5 8 12	1	(12+5)*(5+8)			
5 5 8 13	1	13*((5*5)-8)			
5 5 12 13	1	(12*(13+5))+5			
5 6 6 6	1	5+(6*(6*6))			
5 6 6 13	1	13*(5+(6+6))			
5 6 7 11	1	11+(5*(6*7))			
5 6 7 12	1	(12+5)*(6+7)			
5 6 8 11	1	(11+6)*(5+8)			
5 6 12 12	1	(12*(12+6))+5			
5 6 13 13	1	13*((5*6)-13)			
5 7 8 10	1	(10+7)*(5+8)			
5 7 11 12	1	((11+7)*12)+5			
5 8 8 9	1	(5+8)*(8+9)			
5 8 10 12	1	((10+8)*12)+5			
5 9 9 12	1	(12*(9+9))+5			
5 9 11 13	1	((11+13)*9)+5			
5 9 12 12	1	((12+12)*9)+5			
5 9 13 13	1	13*((13+9)-5)			
5 10 12 13	1	((10+12)-5)*13			
5 11 11 13	1	((11+11)-5)*13			
5 11 13 13	1	((11+5)*13)+13			
5 12 13 13	1	(12*13)+(13*5)			
5 13 13 13	1	(13*(13+5))-13			
