1 6 12 13	1	(12*(13+6))-1	
1 7 12 12	1	(12*(12+7))-1	
1 8 11 12	1	((11+8)*12)-1	
1 9 10 12	1	((10+9)*12)-1	
2 5 5 9	1	2+(5*(5*9))	
2 7 9 13	1	(13*(2*9))-7	
2 7 10 11	1	(10*(11*2))+7	
2 9 11 12	1	11+(12*(2*9))	
2 9 12 13	1	((12+13)*9)+2	
2 10 12 13	1	(10*(12*2))-13	
3 4 7 8	1	3+(4*(7*8))	
3 4 7 11	1	(11*(3*7))-4	
3 6 7 13	1	(13*(3*6))-7	
3 6 11 12	1	11+(12*(3*6))	
3 8 9 11	1	11+(3*(8*9))	
3 8 10 13	1	(10*(3*8))-13	
3 10 10 13	1	(10*(10+13))-3	
3 10 11 12	1	(10*(11+12))-3	
4 5 7 11	1	(11*(4*5))+7	
4 5 12 13	1	(12*(4*5))-13	
4 6 9 11	1	11+(4*(6*9))	
4 6 10 13	1	(10*(4*6))-13	
4 6 13 13	1	(13*(13+4))+6	
4 8 11 13	1	(11*(13+8))-4	
4 9 11 12	1	(11*(12+9))-4	
4 10 11 11	1	((10+11)*11)-4	
5 6 8 13	1	(5*(6*8))-13	
5 6 12 13	1	((12+5)*13)+6	
5 7 13 13	1	(13*(13+5))-7	
5 11 12 13	1	11+(12*(13+5))	
6 6 6 11	1	11+(6*(6*6))	
6 6 11 13	1	((11+6)*13)+6	
6 7 10 13	1	((10+7)*13)+6	
6 7 12 13	1	((12+6)*13)-7	
6 8 9 13	1	(13*(8+9))+6	
6 11 12 12	1	11+(12*(12+6))	
7 7 11 13	2	((11+7)*13)-7	(11*(13+7))+7
7 8 10 13	1	((10+8)*13)-7	
7 8 11 12	1	(11*(12+8))+7	
7 9 9 13	1	(13*(9+9))-7	
7 9 10 13	1	(10*(13+9))+7	
7 9 11 11	1	(11*(11+9))+7	
7 9 13 13	1	((13+13)*9)-7	
7 10 10 11	1	((10+10)*11)+7	
7 10 10 12	1	(10*(10+12))+7	
7 10 11 11	1	(10*(11+11))+7	
7 11 11 12	1	11+((11+7)*12)	
7 11 12 13	1	(11*13)+(12*7)	
7 12 13 13	1	(12*(13+7))-13	
8 10 11 12	1	((10+8)*12)+11	
8 12 12 13	1	(12*(12+8))-13	
9 9 11 12	1	11+(12*(9+9))	
9 10 11 13	1	(10*11)+(13*9)	
9 11 11 13	1	11+((11+13)*9)	
9 11 12 12	1	11+((12+12)*9)	
9 11 12 13	1	((11+9)*12)-13	
10 10 12 13	1	((10+10)*12)-13	
10 11 13 13	1	(10*(11+13))-13	
10 12 12 13	1	(10*(12+12))-13	
