0 4 7 8	1	0+(4*(7*8))	
1 2 8 13	1	(1+13)*(2*8)	
1 3 7 8	1	(1+3)*(7*8)	
1 3 7 11	1	((11*3)-1)*7	
1 3 8 9	1	(1+(3*9))*8	
1 3 13 13	1	(1+13)*(13+3)	
1 4 4 13	1	(1+13)*(4*4)	
1 4 5 11	1	(1+(11*5))*4	
1 4 6 8	1	(1+6)*(4*8)	
1 4 7 7	1	(1+7)*(4*7)	
1 4 7 8	1	1*(4*(7*8))	
1 4 7 9	1	4*(7*(9-1))	
1 4 8 8	1	4*(8*(8-1))	
1 4 12 13	1	(1+13)*(12+4)	
1 5 5 9	1	(5*(5*9))-1	
1 5 7 8	1	(5-1)*(7*8)	
1 5 11 13	1	(1+13)*(11+5)	
1 6 10 13	1	(1+13)*(10+6)	
1 7 9 13	1	(1+13)*(7+9)	
1 8 8 13	1	(1+13)*(8+8)	
1 9 12 13	1	((12+13)*9)-1	
2 2 7 8	2	(2+2)*(7*8)	2*(2*(7*8))
2 2 8 12	1	(12+2)*(2*8)	
2 2 8 13	1	((13*2)+2)*8	
2 2 10 11	1	((10*11)+2)*2	
2 3 7 10	1	((10*3)+2)*7	
2 3 7 13	1	(13+3)*(2*7)	
2 3 8 10	1	((10*3)-2)*8	
2 3 8 11	1	(11+3)*(2*8)	
2 3 12 13	1	(12+2)*(13+3)	
2 4 4 7	1	2*(4*(4*7))	
2 4 4 12	1	(12+2)*(4*4)	
2 4 5 8	1	(2+5)*(4*8)	
2 4 6 7	1	(2+6)*(4*7)	
2 4 6 9	1	(2+(6*9))*4	
2 4 7 10	1	(10-2)*(4*7)	
2 4 7 12	1	(12+4)*(2*7)	
2 4 8 9	1	4*(8*(9-2))	
2 4 8 10	1	(10+4)*(2*8)	
2 4 8 12	1	((12*2)+4)*8	
2 4 9 12	1	((12*9)+4)*2	
2 4 10 11	1	(10*(11*2))+4	
2 4 12 12	1	(12+2)*(12+4)	
2 5 6 7	1	(2+(5*6))*7	
2 5 6 8	1	((5*6)-2)*8	
2 5 7 11	1	(11+5)*(2*7)	
2 5 8 9	1	2*((5+9)*8)	
2 5 9 13	1	((13*9)-5)*2	
2 5 11 12	1	(11+5)*(12+2)	
2 6 7 8	1	(6-2)*(7*8)	
2 6 7 10	1	(10+6)*(2*7)	
2 6 7 13	1	((13*2)+6)*7	
2 6 8 8	1	2*((6+8)*8)	
2 6 8 11	1	((11*2)+6)*8	
2 6 10 12	1	(10+6)*(12+2)	
2 7 7 8	1	2*((7+7)*8)	
2 7 7 9	1	2*(7*(7+9))	
2 7 8 8	2	2*(7*(8+8))	(7*(8*8))/2
2 7 8 12	1	((12*2)+8)*7	
2 7 9 12	1	(12+2)*(7+9)	
2 7 10 11	1	(10+(11*2))*7	
2 7 10 12	1	((10*2)+12)*7	
2 8 8 10	1	((10*2)+8)*8	
2 8 8 12	2	(12+(2*8))*8	(12+2)*(8+8)
2 8 8 13	1	((13*8)+8)*2	
2 8 9 10	1	(10+(2*9))*8	
2 8 9 12	1	(12*(2*9))+8	
2 8 10 12	1	((10*12)-8)*2	
2 8 13 13	1	(13+(13+2))*8	
2 9 10 13	1	(13*(2*9))-10	
2 9 11 11	1	((11*11)-9)*2	
2 9 11 13	1	((11*9)+13)*2	
2 10 10 12	1	((10*10)+12)*2	
3 3 11 13	1	(11+3)*(13+3)	
3 4 4 8	1	(3+4)*(4*8)	
3 4 4 11	1	(11+3)*(4*4)	
3 4 5 7	1	(3+5)*(4*7)	
3 4 7 11	1	(11-3)*(4*7)	
