0 10 10 10	1	0+(10*(10*10))	
1 7 11 13	1	(11*(13*7))-1	
1 9 10 10	1	(1+9)*(10*10)	
1 9 10 11	1	(1+(11*9))*10	
1 10 10 10	1	1*(10*(10*10))	
1 10 10 11	1	10*(10*(11-1))	
2 5 10 10	1	10*(10*(2*5))	
2 8 10 10	1	10*(10*(2+8))	
2 10 10 12	1	10*(10*(12-2))	
3 7 10 10	1	10*(10*(3+7))	
3 10 10 13	1	10*(10*(13-3))	
4 5 5 10	1	10*(4*(5*5))	
4 6 10 10	1	10*(10*(4+6))	
4 8 10 12	1	10*((12*8)+4)	
4 8 10 13	1	10*((13*8)-4)	
4 8 11 11	1	((11*11)+4)*8	
4 10 12 13	1	10*((12+13)*4)	
5 5 5 8	1	5*(5*(5*8))	
5 5 10 10	1	10*(10*(5+5))	
5 7 10 13	1	10*((13+7)*5)	
5 8 10 12	2	10*((12+8)*5)	((10*12)+5)*8
5 8 10 13	1	((10*13)-5)*8	
5 8 12 13	1	(12+13)*(5*8)	
5 9 10 11	1	10*((11+9)*5)	
5 10 10 10	1	10*((10+10)*5)	
7 8 11 12	1	((11*12)-7)*8	
7 8 12 12	1	(12*(12*7))-8	
7 9 10 13	1	10*((13*7)+9)	
8 8 9 13	1	((13*9)+8)*8	
8 9 10 12	1	10*((12*9)-8)	
8 10 11 12	1	10*((11*8)+12)	
9 10 10 10	1	10*(10+(10*9))	
9 10 10 11	1	10+(10*(11*9))	
10 10 10 11	1	10*((10*11)-10)	
