1 3 10 12	1	((10*12)-1)*3
1 4 7 13	1	((13*4)-1)*7
1 5 7 10	1	(1+(10*5))*7
2 3 9 13	1	((13*9)+2)*3
2 3 11 11	1	((11*11)-2)*3
2 7 7 7	1	(2+(7*7))*7
3 3 10 12	1	(10*(12*3))-3
3 4 7 12	1	((12*4)+3)*7
3 4 7 13	1	(13+4)*(3*7)
3 4 9 10	1	(10*(4*9))-3
3 5 6 12	1	(12*(5*6))-3
3 5 7 12	1	(12+5)*(3*7)
3 5 8 9	1	(5*(8*9))-3
3 6 6 10	1	(10*(6*6))-3
3 6 7 8	1	(3+(6*8))*7
3 6 7 9	1	((6*9)-3)*7
3 6 7 11	1	(11+6)*(3*7)
3 6 9 13	1	(13*(3*9))+6
3 6 11 11	1	(11*(11*3))-6
3 7 7 10	1	(10+7)*(3*7)
3 7 8 9	1	3*(7*(8+9))
3 7 12 13	1	(12+(13*3))*7
3 9 10 11	1	((10*11)+9)*3
3 9 11 12	1	(11+(12*9))*3
3 10 11 13	1	((10*13)-11)*3
3 11 12 13	1	((11*12)-13)*3
4 5 7 11	1	((11*5)-4)*7
4 5 8 11	1	(11*(4*8))+5
4 7 7 11	1	((11*4)+7)*7
4 7 7 13	1	(13*(4*7))-7
4 7 10 11	1	((10*4)+11)*7
4 8 13 13	1	(13+4)*(13+8)
4 9 12 13	1	(12+9)*(13+4)
4 10 11 13	1	(10+11)*(13+4)
5 6 7 9	1	((5*9)+6)*7
5 7 7 8	1	7*((7*8)-5)
5 7 7 10	1	(10*(5*7))+7
5 7 8 11	1	(11+(5*8))*7
5 7 9 12	1	((12*5)-9)*7
5 8 12 13	1	(12+5)*(13+8)
5 9 12 12	1	(12+5)*(12+9)
5 10 11 12	1	(10+11)*(12+5)
6 7 7 9	1	((6*7)+9)*7
6 7 9 10	1	((10*6)-9)*7
6 8 11 13	1	(11+6)*(13+8)
6 9 11 12	1	(11+6)*(12+9)
6 10 11 11	1	(10+11)*(11+6)
7 7 9 12	1	7*((7*9)-12)
7 8 8 13	1	7*((8*8)-13)
7 8 10 13	1	(10+7)*(13+8)
7 9 10 12	1	(10+7)*(12+9)
7 10 10 11	1	(10+11)*(10+7)
8 8 9 13	1	(13+8)*(8+9)
8 9 9 12	1	(12+9)*(8+9)
8 9 10 11	1	(10+11)*(8+9)
