0 4 7 13	1	0+(13*(4*7))	
1 2 13 13	1	(1+13)*(13*2)	
1 3 7 13	1	(1+3)*(13*7)	
1 3 9 13	1	(1+(3*9))*13	
1 3 11 11	1	1+(11*(11*3))	
1 4 6 13	1	(1+6)*(13*4)	
1 4 7 12	1	(1+12)*(4*7)	
1 4 7 13	1	1*(13*(4*7))	
1 4 8 13	1	13*(4*(8-1))	
1 4 9 10	1	(1+(10*9))*4	
1 5 7 13	1	13*((5-1)*7)	
1 13 13 13	1	(1+13)*(13+13)	
2 2 7 13	2	13*((2+2)*7)	13*(2*(2*7))
2 2 12 13	1	(12+2)*(13*2)	
2 2 13 13	1	13*((13*2)+2)	
2 3 10 13	1	((10*3)-2)*13	
2 3 11 13	1	(11+3)*(13*2)	
2 4 5 13	1	13*((2+5)*4)	
2 4 7 11	1	(11+2)*(4*7)	
2 4 9 13	1	13*(4*(9-2))	
2 4 10 13	1	(10+4)*(13*2)	
2 4 12 13	1	((12*2)+4)*13	
2 5 6 13	1	13*((5*6)-2)	
2 5 7 10	1	((10*5)+2)*7	
2 5 9 13	1	13*(2*(5+9))	
2 6 7 9	1	((6*9)-2)*7	
2 6 7 13	1	13*((6-2)*7)	
2 6 8 13	1	13*(2*(6+8))	
2 6 11 13	1	((11*2)+6)*13	
2 7 7 13	1	13*(2*(7+7))	
2 7 8 13	1	(13*(7*8))/2	
2 7 13 13	1	(13+13)*(2*7)	
2 8 10 13	1	((10*2)+8)*13	
2 8 12 13	1	(12+(2*8))*13	
2 9 10 13	1	(10+(2*9))*13	
2 12 13 13	1	(12+2)*(13+13)	
2 13 13 13	2	13*(13+(13+2))	(13+(13*13))*2
3 4 4 13	1	13*((3+4)*4)	
3 4 7 10	1	(10+3)*(4*7)	
3 4 8 11	1	((11*8)+3)*4	
3 4 8 13	1	13*((3*8)+4)	
3 4 10 12	1	(10*(12*3))+4	
3 4 10 13	1	(10-3)*(13*4)	
3 5 5 13	1	13*(3+(5*5))	
3 5 7 11	1	((11*5)-3)*7	
3 5 11 13	1	((11*3)-5)*13	
3 5 13 13	1	13*(13+(3*5))	
3 6 10 13	1	(10+(3*6))*13	
3 7 7 7	1	(3+(7*7))*7	
3 7 7 13	2	13*(7*(7-3))	13*((3*7)+7)
3 7 12 13	1	(12*(13*7))/3	
3 7 13 13	1	(13+(13*3))*7	
3 8 12 13	1	((12*3)-8)*13	
3 9 13 13	1	13+(13*(3*9))	
3 11 13 13	2	(11+3)*(13+13)	13*((13*3)-11)
3 12 13 13	1	(12+(13+3))*13	
4 4 6 13	1	13*(4+(4*6))	
4 4 7 9	1	4*((4+9)*7)	
4 4 7 12	1	((12*4)+4)*7	
4 4 8 13	1	13*((4*8)-4)	
4 4 9 10	1	(10*(4*9))+4	
4 4 11 13	1	(11-4)*(13*4)	
4 4 12 13	1	(12+(4*4))*13	
4 5 6 12	1	(12*(5*6))+4	
4 5 7 8	1	4*((5+8)*7)	
4 5 8 9	1	4+(5*(8*9))	
4 5 8 12	1	((12*8)-5)*4	
4 5 8 13	1	13*((4*5)+8)	
4 5 12 13	1	(12-5)*(13*4)	
4 6 6 10	1	(10*(6*6))+4	
4 6 7 7	1	4*((6+7)*7)	
4 6 7 8	1	(4+(6*8))*7	
4 6 13 13	2	13*((13-6)*4)	(13+(13*6))*4
4 7 7 8	1	7*((7*8)-4)	
4 7 7 12	1	((12*7)+7)*4	
4 7 8 11	1	((11*4)+8)*7	
4 7 8 13	1	13*(7*(8-4))	
4 7 10 12	1	((10*4)+12)*7	
4 8 9 11	1	((11*9)-8)*4	
4 8 9 13	1	13*((4*9)-8)	
4 8 10 11	1	((10*8)+11)*4	
4 8 11 12	1	(11*(4*8))+12	
4 8 13 13	1	((13*8)-13)*4	
4 9 9 10	1	(10+(9*9))*4	
4 9 10 10	1	((10*10)-9)*4	
4 10 12 13	1	((10*4)-12)*13	
4 10 13 13	1	(10+4)*(13+13)	
4 11 13 13	1	(11+(13+4))*13	
4 12 12 13	1	(12+(12+4))*13	
5 7 7 9	1	((5*9)+7)*7	
5 7 7 13	1	13*((5*7)-7)	
5 7 8 12	2	(12+(5*8))*7	((12*5)-8)*7
5 7 9 13	1	13*(7*(9-5))	
5 7 13 13	1	((13*5)-13)*7	
5 8 12 13	1	13*((5*8)-12)	
5 9 13 13	1	(13+13)*(5+9)	
5 10 13 13	1	(10+(13+5))*13	
5 11 12 13	1	(11+(12+5))*13	
6 6 8 13	1	13*((6*6)-8)	
6 7 7 10	1	(10+(6*7))*7	
6 7 8 10	1	((10*6)-8)*7	
6 7 10 13	1	(10-6)*(13*7)	
6 8 13 13	1	(13+13)*(6+8)	
6 9 13 13	1	13*(13+(6+9))	
6 10 12 13	1	(10+(12+6))*13	
6 11 11 13	1	(11+(11+6))*13	
7 7 9 11	1	7*((7*9)-11)	
7 7 11 13	1	(11-7)*(13*7)	
7 7 13 13	1	(13+13)*(7+7)	
7 8 8 12	1	7*((8*8)-12)	
7 8 12 13	1	(12-8)*(13*7)	
7 8 13 13	1	13*(13+(7+8))	
7 9 12 13	1	(12+(7+9))*13	
7 9 13 13	1	13*((13-9)*7)	
7 10 11 13	1	(10+(11+7))*13	
8 8 12 13	1	(12+(8+8))*13	
8 9 11 13	1	(11+(8+9))*13	
8 10 10 13	1	(10+(10+8))*13	
9 9 10 13	1	(10+(9+9))*13	
