1 6 10 11	1	(1+(11*6))*10	
2 5 10 13	1	10*((13*5)+2)	
2 5 11 12	1	((11*12)+2)*5	
2 7 8 12	1	(12*(7*8))-2	
3 7 10 10	1	10*((10*7)-3)	
3 8 8 10	1	10*(3+(8*8))	
4 5 10 13	1	((10*13)+4)*5	
4 6 13 13	1	(13*(13*4))-6	
4 7 9 10	1	10*(4+(7*9))	
5 6 10 12	1	10*((12*6)-5)	
5 7 10 12	1	10*((12*5)+7)	
5 8 9 10	1	10*((8*9)-5)	
5 9 11 13	1	((11*13)-9)*5	
5 10 11 12	2	10*((11*5)+12)	10+(11*(12*5))
5 10 12 12	1	((12*12)-10)*5	
5 11 11 13	1	((11*11)+13)*5	
6 7 10 10	1	10*((10*6)+7)	
6 9 10 13	1	10*(13+(6*9))	
6 10 10 11	1	10+(10*(11*6))	
6 10 11 13	1	10*((13*6)-11)	
7 8 10 11	1	10*(11+(7*8))	
7 10 10 11	1	10*((11*7)-10)	
8 10 10 13	1	10*((10*8)-13)	
