1 5 9 13	1	(1+(5*9))*13
2 4 11 13	1	((11*4)+2)*13
2 4 12 13	1	((12*4)-2)*13
2 5 10 12	1	(10*(12*5))-2
2 6 8 13	1	13*((6*8)-2)
2 6 10 10	1	(10*(10*6))-2
2 10 13 13	1	(10+13)*(13*2)
2 11 12 13	1	(11+12)*(13*2)
3 7 7 13	1	13*((7*7)-3)
3 7 13 13	1	13*((13*3)+7)
3 10 12 13	1	(10+(12*3))*13
3 11 13 13	1	((11*3)+13)*13
4 5 10 13	1	((10*5)-4)*13
4 6 7 13	1	13*(4+(6*7))
4 6 9 11	1	(11*(6*9))+4
4 6 10 13	1	((10*4)+6)*13
4 6 13 13	1	13*((13*4)-6)
4 9 10 13	1	(10+(4*9))*13
5 6 8 13	1	13*((5*8)+6)
5 7 11 11	1	(11*(11*5))-7
5 7 11 13	1	(11+(5*7))*13
5 9 11 13	1	((11*5)-9)*13
5 9 13 13	1	13+(13*(5*9))
6 6 10 13	1	(10+(6*6))*13
6 8 9 13	1	13*((6*9)-8)
7 7 10 12	1	10+(12*(7*7))
7 8 10 13	1	13*((7*8)-10)
10 13 13 13	1	(10+13)*(13+13)
11 12 13 13	1	(11+12)*(13+13)
