0 6 9 11	1	0+(11*(6*9))	
1 5 9 11	1	(1+5)*(11*9)	
1 5 9 13	1	(1+(13*5))*9	
1 5 11 11	1	11*((11*5)-1)	
1 6 8 11	1	(1+8)*(11*6)	
1 6 9 10	1	(1+10)*(6*9)	
1 6 9 11	1	1*(11*(6*9))	
1 6 9 12	1	(12-1)*(6*9)	
1 6 10 10	1	((10*10)-1)*6	
1 6 10 11	1	(10-1)*(11*6)	
1 7 9 11	1	11*((7-1)*9)	
2 3 9 11	1	11*(2*(3*9))	
2 4 9 11	1	11*((2+4)*9)	
2 4 11 13	1	11*((13*4)+2)	
2 6 7 11	1	11*((2+7)*6)	
2 6 9 9	1	(2+9)*(6*9)	
2 6 9 13	1	(13-2)*(6*9)	
2 6 11 11	1	11*((11-2)*6)	
2 7 8 11	1	11*((7*8)-2)	
2 8 8 9	1	(2+(8*8))*9	
2 8 9 11	1	11*((8-2)*9)	
2 9 11 12	1	(11*(12*9))/2	
3 3 6 11	1	11*(3*(3*6))	
3 3 9 11	1	11*((3+3)*9)	
3 5 11 13	1	11*((13+5)*3)	
3 6 6 11	1	11*((3+6)*6)	
3 6 8 9	1	(3+8)*(6*9)	
3 6 8 12	1	((12*8)+3)*6	
3 6 11 12	2	11*((12+6)*3)	11*((12-3)*6)
3 7 9 9	1	(3+(7*9))*9	
3 7 11 11	1	11*((11+7)*3)	
3 8 10 11	1	(10+8)*(11*3)	
3 9 9 11	2	11*(9*(9-3))	11*(3*(9+9))
3 9 9 13	1	(13+9)*(3*9)	
3 9 10 12	1	(10+12)*(3*9)	
3 9 11 11	1	(11+11)*(3*9)	
4 5 6 11	1	11*((4+5)*6)	
4 5 10 11	1	((10*5)+4)*11	
4 6 7 9	1	(4+7)*(6*9)	
4 6 11 12	1	11*((12*4)+6)	
4 6 11 13	1	11*((13-4)*6)	
4 7 9 10	1	((10*7)-4)*9	
4 9 10 11	1	(10-4)*(11*9)	
4 10 11 11	1	(10+(11*4))*11	
5 6 6 9	1	(5+6)*(6*9)	
5 6 8 13	1	((13*8)-5)*6	
5 6 9 12	1	((12*5)+6)*9	
5 6 10 12	1	(10*(12*5))-6	
5 6 11 12	1	11*((12*5)-6)	
5 7 7 11	1	11*(5+(7*7))	
5 9 9 11	1	11*((5*9)+9)	
5 9 9 13	1	(13*(5*9))+9	
5 9 11 11	2	11*((11-5)*9)	(11+(11*5))*9
5 11 11 11	1	(11*(11*5))-11	
5 11 11 13	1	11*((13*5)-11)	
6 6 8 11	1	11*(6+(6*8))	
6 6 9 10	1	((10*6)+6)*9	
6 6 9 12	1	((12*6)-6)*9	
6 6 10 10	1	(10*(10*6))-6	
6 6 10 11	1	((10*6)-6)*11	
6 7 7 12	1	(12*(7*7))+6	
6 7 8 13	1	((13*7)+8)*6	
6 7 11 12	1	11*(12+(6*7))	
6 8 9 9	1	((8*9)-6)*9	
6 8 11 11	1	(11+(11*8))*6	
6 9 9 10	1	((10*9)+9)*6	
6 9 9 12	2	((12*9)-9)*6	(12+(6*9))*9
6 9 11 12	1	11*((12-6)*9)	
6 9 12 13	1	((13*6)-12)*9	
6 10 11 11	1	((10*11)-11)*6	
6 11 11 12	1	11*((11*6)-12)	
7 8 9 10	1	(10+(7*8))*9	
7 9 9 11	1	11*((7*9)-9)	
7 9 11 11	1	((11*7)-11)*9	
7 9 11 13	1	11*((13-7)*9)	
8 8 10 11	1	11*((8*8)-10)	
