1 4 10 13	1	(1+(10*4))*13	
1 5 8 13	1	(1+(5*8))*13	
1 6 7 13	1	13*((6*7)-1)	
2 3 13 13	1	13*((13*3)+2)	
3 4 11 13	1	((11*4)-3)*13	
3 5 12 13	1	((12*3)+5)*13	
3 8 11 13	1	((11*3)+8)*13	
3 10 11 13	1	((10*3)+11)*13	
4 5 9 13	2	13*((5*9)-4)	13*((4*9)+5)
4 5 11 12	1	(11*(12*4))+5	
4 7 12 13	1	((12*4)-7)*13	
4 7 13 13	1	13*(13+(4*7))	
4 8 9 13	1	13*((4*8)+9)	
4 10 13 13	1	(10*(13*4))+13	
4 11 13 13	1	13*((13*4)-11)	
5 6 6 13	1	13*(5+(6*6))	
5 6 7 13	1	13*((5*7)+6)	
5 6 8 11	1	(11*(6*8))+5	
5 6 11 13	1	(11+(5*6))*13	
5 7 9 12	1	(12*(5*9))-7	
5 8 13 13	1	13+(13*(5*8))	
5 9 10 13	1	((10*5)-9)*13	
6 7 7 11	1	(11*(7*7))-6	
6 7 8 13	1	13*((6*8)-7)	
6 7 9 10	1	(10*(6*9))-7	
6 7 13 13	1	(13*(6*7))-13	
6 9 13 13	1	13*((6*9)-13)	
7 7 8 13	1	13*((7*7)-8)	
