1 5 9 13	1	(13*(5*9))-1	
1 6 8 12	1	(1+(12*6))*8	
1 8 8 9	1	(1+(8*9))*8	
2 4 12 12	1	((12*12)+2)*4	
3 4 11 13	1	((11*13)+3)*4	
3 7 8 10	1	((10*7)+3)*8	
4 7 7 12	1	(12*(7*7))-4	
4 7 8 11	1	((11*7)-4)*8	
4 8 12 12	1	(12*(12*4))+8	
4 10 12 13	1	((12*13)-10)*4	
4 11 12 13	1	(11*(13*4))+12	
5 6 8 13	1	((13*6)-5)*8	
5 8 8 13	1	((13*5)+8)*8	
5 8 12 13	1	((12*5)+13)*8	
6 7 8 11	1	((11*6)+7)*8	
6 8 8 12	1	(12*(6*8))+8	
6 8 10 13	1	((10*6)+13)*8	
6 9 10 11	1	(11*(6*9))-10	
7 8 8 10	1	((10*8)-7)*8	
7 8 9 10	1	(10+(7*9))*8	
7 8 11 12	1	((12*7)-11)*8	
8 8 8 9	2	8+(8*(8*9))	8*((8*8)+9)
8 8 9 9	1	8*((9*9)-8)	
