1 6 8 11	1	(1+(11*6))*8
2 4 11 12	1	((11*12)+2)*4
2 5 8 13	1	((13*5)+2)*8
3 7 7 11	1	(11*(7*7))-3
3 7 8 10	1	((10*7)-3)*8
3 8 8 8	1	(3+(8*8))*8
4 4 10 13	1	((10*13)+4)*4
4 5 9 12	1	(12*(5*9))-4
4 6 9 10	1	(10*(6*9))-4
4 7 8 9	1	(4+(7*9))*8
4 8 11 12	1	(11*(12*4))+8
4 9 11 13	1	((11*13)-9)*4
4 10 12 12	1	((12*12)-10)*4
4 11 11 13	1	((11*11)+13)*4
5 6 8 12	1	((12*6)-5)*8
5 7 8 12	1	((12*5)+7)*8
5 8 8 9	1	8*((8*9)-5)
5 8 11 12	1	((11*5)+12)*8
6 7 8 10	1	((10*6)+7)*8
6 7 10 13	1	(13*(6*7))-10
6 8 8 11	1	(11*(6*8))+8
6 8 9 13	1	(13+(6*9))*8
6 8 11 13	1	((13*6)-11)*8
7 8 8 11	1	(11+(7*8))*8
7 8 10 11	1	((11*7)-10)*8
8 8 10 13	1	((10*8)-13)*8
