1 5 12 13	1	1+(12*(13*5))
1 6 10 13	1	1+(10*(13*6))
1 6 11 12	1	11*((12*6)-1)
1 7 10 11	1	(1+(10*7))*11
1 8 9 11	1	11*((8*9)-1)
5 6 11 11	1	11*((11*6)+5)
5 6 11 13	1	11*((13*5)+6)
5 11 11 12	1	11*(11+(12*5))
6 7 11 11	1	11*((11*7)-6)
6 7 11 13	1	11*((13*6)-7)
6 10 11 11	1	((10*6)+11)*11
6 11 11 12	1	(11*(12*6))-11
7 8 8 11	1	11*(7+(8*8))
7 8 9 11	1	11*((7*9)+8)
7 10 11 11	1	(10*(11*7))+11
7 11 12 13	1	11*((12*7)-13)
8 8 12 13	1	(12*(8*8))+13
8 9 10 11	1	((10*8)-9)*11
8 9 11 11	1	(11*(8*9))-11
9 9 10 11	1	11*((9*9)-10)
